
2024/07/28 (23:41:15) | ===> btop++ v.1.3.2
2024/07/28 (23:41:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/07/28 (23:41:15) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/10/03 (21:59:27) | ===> btop++ v.1.4.0
2024/10/03 (21:59:27) | ERROR: Exception during Config::unlock() : unordered_map::at

2024/10/06 (14:24:08) | ===> btop++ v.1.4.0
2024/10/06 (14:24:08) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/12/12 (15:20:47) | ===> btop++ v.1.4.0
2024/12/12 (15:20:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (15:21:01) | ===> btop++ v.1.4.0
2024/12/12 (15:21:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (23:46:55) | ===> btop++ v.1.4.0
2024/12/22 (23:46:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (23:48:21) | ===> btop++ v.1.4.0
2024/12/22 (23:48:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (14:30:26) | ===> btop++ v.1.4.0
2024/12/23 (14:30:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:53:51) | ===> btop++ v.1.4.0
2025/01/23 (22:53:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:57:16) | ===> btop++ v.1.4.0
2025/01/23 (22:57:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/23 (22:57:46) | ===> btop++ v.1.4.0
2025/01/23 (22:57:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (11:11:25) | ===> btop++ v.1.4.0
2025/01/24 (11:11:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/25 (17:51:02) | ===> btop++ v.1.4.0
2025/01/25 (17:51:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (16:24:04) | ===> btop++ v.1.4.0
2025/01/30 (16:24:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/01 (20:36:43) | ===> btop++ v.1.4.0
2025/02/01 (20:36:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (11:55:06) | ===> btop++ v.1.4.0
2025/02/02 (11:55:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/02 (19:02:12) | ===> btop++ v.1.4.0
2025/02/02 (19:02:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (11:45:48) | ===> btop++ v.1.4.0
2025/02/12 (11:45:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (21:30:34) | ===> btop++ v.1.4.0
2025/02/13 (21:30:34) | WARNING: Intel GPU: Failed to initialize PMU
